cat,ZHYD,denr,elev,slop,pop,popd,clc1area,clc2area,clc3area,clc4area,clc5area,clc1,clc2,clc3,clc4,clc5,area_1,RivLen,RivCount,LenD,RivDen,Nroad,roadD,bar_obs,Nkm2_obs
"8558",W3A3002802,1863.589834000000110,45.119230450000003,248.953456598000002,2558.552691060000143,20.412898444710400,4.930000000000000,33.359999999999999,85.640000000000001,0.000000000000000,1.410000000000000,0.039333014201372,0.266156055528961,0.683261528642093,0.000000000000000,0.011249401627573,125.340000000000003,9317.949169999999867,"5",74.341384793362096,0.039891495133238,"6",0.047869794159885,"2",0.015956598053295
"8558",W3A3002802,1863.589834000000110,45.119230450000003,248.953456598000002,2558.552691060000143,20.412898444710400,4.930000000000000,33.359999999999999,85.640000000000001,0.000000000000000,1.410000000000000,0.039333014201372,0.266156055528961,0.683261528642093,0.000000000000000,0.011249401627573,125.340000000000003,9317.949169999999867,"5",74.341384793362096,0.039891495133238,"6",0.047869794159885,"2",0.015956598053295
"8558",W3A3002802,1863.589834000000110,45.119230450000003,248.953456598000002,2558.552691060000143,20.412898444710400,4.930000000000000,33.359999999999999,85.640000000000001,0.000000000000000,1.410000000000000,0.039333014201372,0.266156055528961,0.683261528642093,0.000000000000000,0.011249401627573,125.340000000000003,9317.949169999999867,"5",74.341384793362096,0.039891495133238,"6",0.047869794159885,"2",0.015956598053295
"8562",W3A3002806,1164.084483333329899,40.283935357399997,248.585653229000002,5170.191816890000155,43.648727875812597,5.960000000000000,26.690000000000001,83.400000000000006,0.680000000000000,1.720000000000000,0.050316589278176,0.225327142254116,0.704094554664415,0.005740818910933,0.014520894892360,118.450000000000003,3492.253450000000157,"3",29.482933305192098,0.025327142254116,"3",0.025327142254116,"3",0.025327142254116
"8511",W3A2000002,11471.307593333300247,4.597248300410000,249.983550280999992,212031.274397000001045,360.781477619533973,105.459999999999994,455.980000000000018,22.300000000000001,1.180000000000000,2.780000000000000,0.179445295218649,0.775872043559639,0.037944529521865,0.002007827122682,0.004730304577165,587.700000000000045,34413.922780000000785,"3",58.556955555555597,0.005104645227157,"21",0.035732516590097,"159",0.270546197039306
"8511",W3A2000002,11471.307593333300247,4.597248300410000,249.983550280999992,212031.274397000001045,360.781477619533973,105.459999999999994,455.980000000000018,22.300000000000001,1.180000000000000,2.780000000000000,0.179445295218649,0.775872043559639,0.037944529521865,0.002007827122682,0.004730304577165,587.700000000000045,34413.922780000000785,"3",58.556955555555597,0.005104645227157,"21",0.035732516590097,"159",0.270546197039306
"8512",W3A2000101,0.662270000000000,4.490259340390000,249.943965517000009,7900.750509839999722,555.999332149190991,2.480000000000000,0.690000000000000,0.940000000000000,9.949999999999999,0.150000000000000,0.174524982406756,0.048557353976073,0.066150598170303,0.700211118930331,0.010555946516538,14.210000000000001,0.662270000000000,"1",0.046605911330049,0.070372976776918,"0",0.000000000000000,"2",0.140745953553835
"8988",W3A8000205,1872.957560000000058,58.330244582299997,248.541666666999987,94861.511823499997263,1638.368079853200015,25.820000000000000,22.430000000000000,4.750000000000000,3.000000000000000,1.900000000000000,0.445941278065630,0.387392055267703,0.082037996545769,0.051813471502591,0.032815198618307,57.899999999999999,1872.957560000000058,"1",32.348144386873898,0.017271157167530,"1",0.017271157167530,"0",0.000000000000000
"8988",W3A8000205,1872.957560000000058,58.330244582299997,248.541666666999987,94861.511823499997263,1638.368079853200015,25.820000000000000,22.430000000000000,4.750000000000000,3.000000000000000,1.900000000000000,0.445941278065630,0.387392055267703,0.082037996545769,0.051813471502591,0.032815198618307,57.899999999999999,1872.957560000000058,"1",32.348144386873898,0.017271157167530,"1",0.017271157167530,"0",0.000000000000000
"9023",W3A8002401,2895.980680000000120,42.419645252800002,249.869935883000011,2990.990301880000061,67.884482566500196,3.120000000000000,39.530000000000001,0.310000000000000,1.040000000000000,0.060000000000000,0.070812528370404,0.897185655923740,0.007035860190649,0.023604176123468,0.001361779391739,44.060000000000002,2895.980680000000120,"1",65.728113481616006,0.022696323195642,"1",0.022696323195642,"2",0.045392646391285
